crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1486	0.000000
281474976710655.000000	Inf	1487	0.000000
281474976710655.000000	Inf	1488	0.000000
281474976710655.000000	140.438477	1489	0.000000
281474976710655.000000	Inf	1490	0.000000
281474976710655.000000	Inf	1491	0.000000
281474976710655.000000	Inf	1492	0.000000
281474976710655.000000	65.125641	1493	0.000000
281474976710655.000000	121.490685	1494	0.000000
281474976710655.000000	126.422729	1495	0.000000
281474976710655.000000	111.932449	1496	0.000000
281474976710655.000000	Inf	1497	0.000000
281474976710655.000000	106.844566	1498	0.000000
281474976710655.000000	Inf	1499	0.000000
281474976710655.000000	Inf	1500	0.000000
281474976710655.000000	103.597115	1501	0.000000
281474976710655.000000	206.183548	1502	0.000000
281474976710655.000000	Inf	1503	0.000000
281474976710655.000000	96.410202	1504	0.000000
281474976710655.000000	94.278862	1505	0.000000
281474976710655.000000	58.887569	1506	0.000000
281474976710655.000000	45.819729	1507	0.000000
281474976710655.000000	89.215225	1508	0.000000
281474976710655.000000	44.144749	1509	0.000000
281474976710655.000000	82.093666	1510	0.000000
281474976710655.000000	159.552948	1511	0.000000
281474976710655.000000	52.360306	1512	0.000000
281474976710655.000000	72.197273	1513	0.000000
281474976710655.000000	74.276611	1514	0.000000
281474976710655.000000	73.231201	1515	0.000000
281474976710655.000000	113.804787	1516	0.000000
281474976710655.000000	65.409164	1517	0.000000
281474976710655.000000	65.675682	1518	0.000000
281474976710655.000000	105.305534	1519	0.000000
281474976710655.000000	49.634430	1520	0.000000
281474976710655.000000	43.819134	1521	0.000000
281474976710655.000000	37.124859	1522	0.000000
281474976710655.000000	65.661179	1523	0.000000
281474976710655.000000	45.370483	1524	0.000000
281474976710655.000000	40.942802	1525	0.000000
281474976710655.000000	49.417892	1526	0.000000
281474976710655.000000	46.628910	1527	0.000000
281474976710655.000000	60.075111	1528	0.000000
281474976710655.000000	44.041882	1529	0.000000
281474976710655.000000	56.223110	1530	0.000000
281474976710655.000000	42.813568	1531	0.000000
281474976710655.000000	45.469242	1532	0.000000
281474976710655.000000	37.121727	1533	0.000000
281474976710655.000000	40.215492	1534	0.000000
281474976710655.000000	35.053936	1535	0.000000
281474976710655.000000	46.909698	1536	0.000000
281474976710655.000000	36.001369	1537	0.000000
281474976710655.000000	40.058689	1538	0.000000
281474976710655.000000	39.093716	1539	0.000000
281474976710655.000000	39.446377	1540	0.000000
281474976710655.000000	38.236290	1541	0.000000
281474976710655.000000	31.659210	1542	0.000000
281474976710655.000000	29.112110	1543	0.000000
281474976710655.000000	30.067650	1544	0.000000
281474976710655.000000	28.823528	1545	0.000000
281474976710655.000000	31.746441	1546	0.000000
281474976710655.000000	25.242855	1547	0.000000
281474976710655.000000	22.591608	1548	0.000000
281474976710655.000000	27.542068	1549	0.000000
281474976710655.000000	27.097137	1550	0.000000
281474976710655.000000	21.330851	1551	0.000000
281474976710655.000000	22.870834	1552	0.000000
281474976710655.000000	24.030546	1553	0.000000
281474976710655.000000	22.425123	1554	0.000000
281474976710655.000000	20.461403	1555	0.000000
281474976710655.000000	21.140535	1556	0.000000
281474976710655.000000	18.960346	1557	0.000000
281474976710655.000000	19.474569	1558	0.000000
281474976710655.000000	17.122873	1559	0.000000
281474976710655.000000	17.486130	1560	0.000000
281474976710655.000000	17.277258	1561	0.000000
281474976710655.000000	15.970439	1562	0.000000
281474976710655.000000	16.317976	1563	0.000000
281474976710655.000000	14.932376	1564	0.000000
281474976710655.000000	14.729420	1565	0.000000
281474976710655.000000	13.899128	1566	0.000000
281474976710655.000000	14.227685	1567	0.000000
281474976710655.000000	13.409670	1568	0.000000
281474976710655.000000	12.539195	1569	0.000000
281474976710655.000000	13.696471	1570	0.000000
281474976710655.000000	12.303157	1571	0.000000
281474976710655.000000	11.775293	1572	0.000000
281474976710655.000000	11.832742	1573	0.000000
281474976710655.000000	11.654497	1574	0.000000
