num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2061	5060.530773	86.802123	0.042436	4.134634	134.712960
2063	5062.602879	85.304678	0.107893	4.135518	127.699858
2065	5064.675700	83.866777	0.118053	4.135545	132.631664
2067	5066.747958	82.255795	0.163063	4.135489	126.576141
2069	5068.819900	80.682849	0.190374	4.136163	124.075011
2071	5070.891650	79.338324	0.192263	4.136808	126.274281
2073	5072.964107	78.013953	0.247432	4.136621	112.610763
2075	5075.035844	76.562248	0.290874	4.136488	106.396392
2077	5077.107070	75.400876	0.316326	4.136048	101.803752
2079	5079.178579	73.499415	0.340557	4.136160	106.459487
2081	5081.249232	72.149716	0.387450	4.135771	97.810616
2083	5083.320311	71.120337	0.423322	4.135770	96.835053
2085	5085.392462	69.557387	0.466890	4.135445	88.445853
2087	5087.464050	68.155220	0.476340	4.135689	89.315681
2089	5089.535964	66.924975	0.514225	4.136239	85.084921
2091	5091.608953	65.603992	0.522378	4.136918	81.230041
2093	5093.681212	64.215376	0.552448	4.137396	78.225176
2095	5095.753356	62.955014	0.573301	4.137553	72.824665
2097	5097.825976	61.379486	0.596066	4.138355	76.354147
2099	5099.897605	60.432125	0.621815	4.138395	69.758640
2101	5101.969260	58.842833	0.658103	4.138786	68.558644
2103	5104.041422	58.047247	0.694158	4.138867	63.797348
2105	5106.112262	56.672270	0.703134	4.139262	61.784025
2107	5108.183536	55.574542	0.691383	4.139708	60.118545
2109	5110.254741	54.318138	0.761255	4.140296	56.682202
2111	5112.325725	53.118402	0.795159	4.141049	55.734594
2113	5114.396467	52.136108	0.800914	4.141669	51.881910
2115	5116.467326	50.953260	0.809236	4.142027	49.069390
2117	5118.539345	49.783181	0.838395	4.142206	48.834315
2119	5120.611497	48.656300	0.851063	4.142026	44.476270
2121	5122.683279	47.530663	0.870905	4.141839	44.567455
2123	5124.756117	46.434053	0.897979	4.141790	41.874468
2125	5126.828897	45.516823	0.909273	4.141446	40.218779
2127	5128.901714	44.533048	0.934834	4.141441	37.623346
2129	5130.973998	43.501429	0.952762	4.141451	36.728131
2131	5133.045379	42.508574	0.970850	4.141832	35.191806
2133	5135.118092	41.523595	0.976498	4.142419	34.887087
2135	5137.189476	40.659634	0.979995	4.142564	34.058293
2137	5139.259989	39.602810	0.993976	4.142870	29.398151
2139	5141.331808	38.724547	0.981312	4.143431	28.970718
2141	5143.404673	37.961899	1.004592	4.143698	28.164085
2143	5145.475756	36.981350	1.004014	4.143932	27.133108
2145	5147.546599	36.107217	1.014327	4.144193	25.829238
2147	5149.618584	35.328856	1.005190	4.144087	25.311269
2149	5151.689642	34.470140	0.992528	4.144416	23.250790
2151	5153.759206	33.717881	1.003728	4.144150	22.624652
2153	5155.829516	32.800512	0.992931	4.144114	21.327438
2155	5157.899945	32.045023	0.997369	4.143542	19.005810
2157	5159.969501	31.346391	0.993999	4.142389	19.982908
2159	5162.039506	30.474282	0.995702	4.141677	19.010444
2161	5164.107664	29.792736	0.988452	4.141255	17.731628
2163	5166.180132	29.069295	0.991733	4.140843	16.439292
2165	5168.250584	28.342459	0.983051	4.140369	16.336954
2167	5170.320276	27.614833	0.980310	4.140836	16.458012
2169	5172.391860	26.938493	0.969931	4.140817	14.894743
2171	5174.465143	26.329273	0.949120	4.142195	13.455118
2173	5176.535753	25.634031	0.948428	4.142118	13.286854
2175	5178.607708	25.016158	0.938267	4.142552	12.364011
